primary_name,Breakfast,Lunch,Dinner,GST
Sterling Kodai Lake,550,850,950,18 % GST and 5 % Service charges which is not mandatory
Sterling Ooty Elk Hill,750,1250,1250,18 GST + 5 % SC
Sterling Lake Palace Alleppey,650,950,1150,"18% GST.
 5% Service Charge Optional"
Sterling Munnar,550,850,950,18%
Sterling Thekkady,350,750,850,18%
Sterling Manali,550,700,850,As Applicable
Sterling Kufri,450,700,800,18%
Sterling Gir,450,700,800,18 % GST and 5 % Service charges which is not mandatory
Sterling Lonavala,349,699,699,18%
Sterling Puri,550,850,950,18%
Sterling Kanha,500,700,800,"18% We levy 5% Service Charge , which is optional for guest"
Sterling Palavelli Godavari,450,750,850,23.9% (18% GST + 5% Serv Chg optional)
Sterling Nature Trails Durshet,200,350,350,18%
Sterling Nature Trails Sajan,200,400,400,18%
Sterling Nature Trails Kundalika,200,350,350,18%
Sterling V Grand Madurai,450,750 + (Optional),750 + (Optional),5%
Sterling Guruvayur,300 + tax,400 + tax,450 + tax,5%
Sterling Park Kalimpong,350,600,700,18%
Sterling Mount Abu,599,750,999,18%
Sterling Ooty Fern Hill,650 + taxes,850 + taxes,1050 + taxes,18%
Sterling Wayanad,550,850,1150,18% GST & optional 5% service charge
Sterling Pushkar,300,500,600,"5% GST, 5% Optional Service Charge"
Sterling Aravalli,650,800,1400,18%
Sterling Banashree Badami,400,700,700,18%
Sterling Rewild Sariska,450,650,850,"18% GST, 5% Service Charge"
Sterling Stolen Heaven,599,899,1099,18%
Sterling Marbella Dehradun,399,A la carte,A la carte,5%
Sterling Yelagiri,400,650,750,18%
Sterling Anaikatti,450,650,750,18%
Sterling Darjeeling,600,900,1100,18%
Sterling Kodai Valley,550,850,950,18%
Sterling Nainital,750,950,1150,18%
Sterling Goa Varca,679,979,1149,18%
Sterling Gangtok Orange Village,750,1250,1500,18%
Sterling Padam Pench,750 + taxes,1250 + taxes,1250 + taxes,18%
Sterling Mantra Haridwar,350,650,750,5%
Sterling Shivalik Chail,450,650,750,18%
Sterling Legacy Shimla,450,700,800,18%
Sterling Panchgani,349,699,699,18%+5%Service
Sterling Panchgani,175,350,350,18%+5%Service
Sterling Vythiri Wayanad,450,650,750,18%
Sterling Balicha Udaipur,600 + GST,800 + GST,1000 + GST,18% GST + 5% optional Service Charge.
Sterling Corbett,600,850,1000,18%
Sterling Athirappilly,550,A' La' Carte,A' La' Carte,23.9% (18% GST + 5% Serv chrg optional)
"Sterling City Centre Bokaro",350,750,750,18%
Sterling Orient Woods,350+taxes,650+taxes,750+taxes,18%
Sterling Nainital,750,950,1150,18%
Sterling Corbett,600,850,1000,18%
